pre_Treatment,pre_sm,pre_ws,pre_fs,post_treatment,pre_treatment2,post_sm,post_ws,post_fs,post_competitor
1a,1600000,14400000,0,1,1a,120000000,1120000000,0,0
1b,6400000,40800000,0,1,1b,480000000,1200000000,0,12000000
1c,800000,9800000,600000,1,1c,28000000,72000000,0,0
1d,1760000,24440000,0,1,1d,612000000,196000000,0,28000000
1e,1000000,12000000,800000,1,1e,160000000,320000000,0,56000000
1f,2200000,12800000,200000,1,1f,360000000,560000000,0,12000000
2a,2400000,19400000,0,1,2a,1360000000,2160000000,0,24000000
2b,1200000,11600000,1000000,1,2b,320000000,600000000,0,32000000
2c,4000000,80000000,0,1,2c,72000000,148000000,0,10000000
2d,80000,9160000,0,1,2d,52000000,700000000,4000000,0
2e,5200000,18800000,200000,1,2e,80000000,160000000,0,0
2f,1200000,16800000,400000,1,2f,80000000,1720000000,0,0
4a,16000000,60000000,0,1,4a,36000000,344000000,0,0
4b,22000000,138000000,0,1,4b,92000000,236000000,20000000,0
4c,0,480000,0,1,4c,84000000,780000000,0,0
4d,12160000,71160000,0,1,4d,36000000,404000000,4000000,0
4e,560000,17720000,0,1,4e,16000000,180000000,0,0
4f,12000000,82000000,0,1,4f,43200000,33600000,0,16400000
8a,16000000,178000000,0,1,8a,136000000,1116000000,0,0
8b,0,106000000,0,1,8b,40000000,2920000000,0,0
8c,22000000,158000000,0,1,8c,160000000,3800000000,0,4000000
8d,18000000,102000000,0,1,8d,92000000,1000000000,0,0
8e,30000000,322000000,0,1,8e,0,2480000000,0,0
8f,16000000,266000000,0,1,8f,160000000,2320000000,0,0
16a,200000,3040000,60000,1,16a,2440000000,1440000000,0,0
16b,0,0,0,1,16b,72000000,672000000,0,0
16c,700000,5240000,20000,1,16c,52000000,904000000,0,0
16d,360,520,40,1,16d,4000000,176000000,0,20000000
16e,400,240,80,1,16e,280000000,280000000,0,0
16f,600,480,0,1,16f,40000000,440000000,0,0
1a,1600000,14400000,0,2,1a,32000000,972000000,0,0
1b,6400000,40800000,0,2,1b,10400000,30000000,0,0
1c,800000,9800000,600000,2,1c,4000000,34000000,0,0
1d,1760000,24440000,0,2,1d,200000000,2120000000,0,0
1e,1000000,12000000,800000,2,1e,40000000,1680000000,0,28000000
1f,2200000,12800000,200000,2,1f,64000000,1112000000,0,0
2a,2400000,19400000,0,2,2a,88000000,216000000,0,0
2b,1200000,11600000,1000000,2,2b,68000000,1600000000,0,0
2c,4000000,80000000,0,2,2c,4000000,13200000,0,0
2d,80000,9160000,0,2,2d,200000000,6360000000,0,36000000
2e,5200000,18800000,200000,2,2e,80000000,1920000000,0,920000000
2f,1200000,16800000,400000,2,2f,80000000,4840000000,0,0
4a,16000000,60000000,0,2,4a,360000000,2880000000,0,0
4b,22000000,138000000,0,2,4b,160000000,1840000000,0,0
4c,0,480000,0,2,4c,64000000,1260000000,0,0
4d,12160000,71160000,0,2,4d,16000000,720000000,0,0
4e,560000,17720000,0,2,4e,0,2680000000,0,0
4f,12000000,82000000,0,2,4f,0,560000000,0,560000000
8a,16000000,178000000,0,2,8a,320000000,1840000000,0,0
8b,0,106000000,0,2,8b,320000000,1240000000,0,0
8c,22000000,158000000,0,2,8c,40000000,9680000000,0,16000000
8d,18000000,102000000,0,2,8d,0,1080000000,0,0
8e,30000000,322000000,0,2,8e,28000000,296000000,0,0
8f,16000000,266000000,0,2,8f,80000000,4000000000,0,0
16a,200000,3040000,60000,2,16a,88000000,1124000000,4000000,0
16b,240,640,0,2,16b,760000000,200000000,0,0
16c,700000,5240000,20000,2,16c,76000000,820000000,0,0
16d,360,520,40,2,16d,0,1960000000,0,160000000
16e,400,240,80,2,16e,760000000,400000000,40000000,0
16f,600,480,0,2,16f,0,108000000,0,0
1a,1600000,14400000,0,4,1a,48000000,268000000,0,0
1b,6400000,40800000,0,4,1b,44000000,384000000,12000000,0
1c,800000,9800000,600000,4,1c,84000000,464000000,4000000,0
1d,1760000,24440000,0,4,1d,2800000,7200000,0,0
1e,1000000,12000000,800000,4,1e,280000000,1800000000,80000000,4000000
1f,2200000,12800000,200000,4,1f,32000000,96000000,0,0
2a,2400000,19400000,0,4,2a,6400000,154800000,0,0
2b,1200000,11600000,1000000,4,2b,7600000,18400000,0,0
2c,4000000,80000000,0,4,2c,17200000,30800000,1200000,0
2d,80000,9160000,0,4,2d,2800000,49200000,0,33200000
2e,5200000,18800000,200000,4,2e,196000000,8000000,20000000,332000000
2f,1200000,16800000,400000,4,2f,20000000,444000000,4000000,0
4a,16000000,60000000,0,4,4a,48000000,452000000,0,0
4b,22000000,138000000,0,4,4b,20000000,508000000,16000000,0
4c,0,480000,0,4,4c,120000000,1160000000,40000000,0
4d,12160000,71160000,0,4,4d,32000000,284000000,4000000,0
4e,560000,17720000,0,4,4e,20000000,584000000,4000000,0
4f,12000000,82000000,0,4,4f,2800000,14000000,0,2400000
8a,16000000,178000000,0,4,8a,17600000,800000,1200000,0
8b,0,106000000,0,4,8b,36000000,368000000,4000000,0
8c,22000000,158000000,0,4,8c,0,1400000000,0,0
8d,18000000,102000000,0,4,8d,24000000,264000000,4000000,0
8e,30000000,322000000,0,4,8e,60000000,420000000,4000000,0
8f,16000000,266000000,0,4,8f,5600000,24800000,1600000,0
16a,200000,3040000,60000,4,16a,48000000,764000000,4000000,0
16b,0,0,0,4,16b,192000000,416000000,0,0
16c,700000,5240000,20000,4,16c,64000000,220000000,0,0
16d,360,520,40,4,16d,44000000,444000000,0,8000000
16e,400,240,80,4,16e,14400000,9200000,0,0
16f,600,480,0,4,16f,28000000,224000000,8000000,0
1a,1600000,14400000,0,8,1a,32000000,124000000,0,0
1b,6400000,40800000,0,8,1b,26000000,5200000,5600000,0
1c,800000,9800000,600000,8,1c,52000000,36000000,4000000,0
1d,1760000,24440000,0,8,1d,72000000,56000000,0,0
1e,1000000,12000000,800000,8,1e,72000000,204000000,28000000,0
1f,2200000,12800000,200000,8,1f,40000000,104000000,8000000,0
2a,2400000,19400000,0,8,2a,43600000,80800000,400000,0
2b,1200000,11600000,1000000,8,2b,9200000,8800000,400000,0
2c,4000000,80000000,0,8,2c,5600000,8400000,0,0
2d,80000,9160000,0,8,2d,4800000,45600000,1600000,28000000
2e,5200000,18800000,200000,8,2e,34800000,2800000,400000,0
2f,1200000,16800000,400000,8,2f,280000,440000,400000,3080000
4a,16000000,60000000,0,8,4a,4000000,84000000,4000000,0
4b,22000000,138000000,0,8,4b,2080000,1200000,200000,0
4c,0,480000,0,8,4c,0,17200000,0,0
4d,12160000,71160000,0,8,4d,24000000,88000000,8000000,0
4e,560000,17720000,0,8,4e,12000000,52000000,0,0
4f,12000000,82000000,0,8,4f,12000000,17600000,0,24000000
8a,16000000,178000000,0,8,8a,80000000,44000000,8000000,0
8b,0,106000000,0,8,8b,16400000,87600000,3600000,0
8c,22000000,158000000,0,8,8c,48000000,292000000,0,0
8d,18000000,102000000,0,8,8d,32000000,128000000,4000000,0
8e,30000000,322000000,0,8,8e,2800000,81600000,2400000,0
8f,16000000,266000000,0,8,8f,12800000,28400000,0,0
16a,200000,3040000,60000,8,16a,52000000,364000000,84000000,0
16b,0,0,0,8,16b,72000000,68000000,0,0
16c,700000,5240000,20000,8,16c,92000000,128000000,12000000,0
16d,360,520,40,8,16d,2000000,7600000,0,6000000
16e,400,240,80,8,16e,92000000,284000000,0,0
16f,600,480,0,8,16f,68000000,24000000,0,0
1a,1600000,14400000,0,16,1a,1200000,7600000,400000,0
1b,6400000,40800000,0,16,1b,68400000,1200000,0,0
1c,800000,9800000,600000,16,1c,29600000,2400000,0,0
1d,1760000,24440000,0,16,1d,24000000,3600000,0,0
1e,1000000,12000000,800000,16,1e,2480000,440000,0,0
1f,2200000,12800000,200000,16,1f,11600000,800000,0,0
2a,2400000,19400000,0,16,2a,34800000,0,0,0
2b,1200000,11600000,1000000,16,2b,5200000,2800000,0,0
2c,4000000,80000000,0,16,2c,2000000,3600000,0,0
2d,80000,9160000,0,16,2d,0,0,0,29200000
2e,5200000,18800000,200000,16,2e,0,0,0,4800000
2f,1200000,16800000,400000,16,2f,4440000,80000,0,0
4a,16000000,60000000,0,16,4a,28000000,400000,0,0
4b,22000000,138000000,0,16,4b,5080000,1000000,0,0
4c,0,480000,0,16,4c,1880000,40000,120000,0
4d,12160000,71160000,0,16,4d,14000000,400000,0,0
4e,560000,17720000,0,16,4e,4800000,2800000,0,0
4f,12000000,82000000,0,16,4f,0,0,0,13200000
8a,16000000,178000000,0,16,8a,56800000,1200000,4400000,0
8b,0,106000000,0,16,8b,59200000,0,0,0
8c,22000000,158000000,0,16,8c,800000,7200000,0,0
8d,18000000,102000000,0,16,8d,40000000,28000000,0,0
8e,30000000,322000000,0,16,8e,20400000,6800000,0,0
8f,16000000,266000000,0,16,8f,10400000,2000000,400000,0
16a,200000,3040000,60000,16,16a,4560000,80000,0,0
16b,0,0,0,16,16b,5560000,2480000,0,0
16c,700000,5240000,20000,16,16c,14400000,6800000,0,0
16d,360,520,40,16,16d,12400000,2800000,0,1200000
16e,400,240,80,16,16e,26800000,800000,1200000,0
16f,600,480,0,16,16f,19200000,4000000,0,0